SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,"ERROR CODE","ERROR MESSAGE",ENVIRONMENT,VERSION, , ,AverageResponseOfID,MaximumDuration,MinimunDuration,Mode,Median
1,163463,PASS,3091,200,"","",arc,v1, , ,,,,,
2,211719,PASS,2604,200,"","",arc,v1, , ,,,,,
3,313195,FALSE,2630,200,"0001 0001 0001","The person 313195 does not exist. The person 313195 does not exist. The person 313195 does not exist.",arc,v1, , ,,,,,
4,230653,FALSE,2803,200,"0001","The person 230653 does not exist.",arc,v1, , ,,,,,
5,249727,FALSE,2711,200,"0001","The person 249727 does not exist.",arc,v1, , ,,,,,
6,139506,PASS,2399,200,"","",arc,v1, , ,,,,,
7,265506,FALSE,2592,200,"0001","The person 265506 does not exist.",arc,v1, , ,,,,,
8,264965,FALSE,2483,200,"0001","The person 264965 does not exist.",arc,v1, , ,,,,,
9,204625,PASS,2498,200,"","",arc,v1, , ,,,,,
10,193186,PASS,2715,200,"","",arc,v1, , ,,,,,
11,119459,PASS,2808,200,"","",arc,v1, , ,,,,,
12,176165,PASS,2534,200,"","",arc,v1, , ,,,,,
13,289119,FALSE,2753,200,"0001","The person 289119 does not exist.",arc,v1, , ,,,,,
14,165031,PASS,2473,200,"","",arc,v1, , ,,,,,
15,323386,FALSE,2417,200,"0001 0001 0001","The person 323386 does not exist. The person 323386 does not exist. The person 323386 does not exist.",arc,v1, , ,,,,,
16,155179,PASS,2837,200,"","",arc,v1, , ,,,,,
17,128511,PASS,2774,200,"","",arc,v1, , ,,,,,
18,146495,PASS,4797,200,"","",arc,v1, , ,,,,,
19,156947,PASS,2755,200,"","",arc,v1, , ,,,,,
