SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,"ERROR CODE","ERROR MESSAGE",ENVIRONMENT,VERSION, , ,AverageResponseOfID,MaximumDuration,MinimunDuration,Mode,Median
1,163463,PASS,2024,200,"","",arc,v1, , ,2008.48,16741,621,1152,1497,
2,211719,PASS,1099,200,"","",arc,v1, , ,,,,,
3,313195,FALSE,976,200,"0002
0002
0002
0010
0010
0008
0350
","The IdPerson field is mandatory.
The EffectiveDate field is mandatory.
The employee -1 does not exist.
The field SalaryStartDate is mandatory.
The field SalaryEndDate is mandatory.
The IdCurrency with the identifier 15 cannot be found.
The number of payrolls must be between 12 and 15 (included).
",arc,v1, , ,,,,,
4,230653,PASS,1133,200,"","",arc,v1, , ,,,,,
5,249727,PASS,1076,200,"","",arc,v1, , ,,,,,
6,139506,PASS,1244,200,"","",arc,v1, , ,,,,,
7,265506,PASS,1110,200,"","",arc,v1, , ,,,,,
8,264965,PASS,1105,200,"","",arc,v1, , ,,,,,
9,204625,PASS,1134,200,"","",arc,v1, , ,,,,,
10,193186,PASS,1107,200,"","",arc,v1, , ,,,,,
11,119459,PASS,1175,200,"","",arc,v1, , ,,,,,
12,176165,PASS,1127,200,"","",arc,v1, , ,,,,,
13,289119,PASS,1086,200,"","",arc,v1, , ,,,,,
14,165031,PASS,1086,200,"","",arc,v1, , ,,,,,
15,323386,FALSE,958,200,"0002
0002
0002
0010
0010
0008
0350
","The IdPerson field is mandatory.
The EffectiveDate field is mandatory.
The employee -1 does not exist.
The field SalaryStartDate is mandatory.
The field SalaryEndDate is mandatory.
The IdCurrency with the identifier 15 cannot be found.
The number of payrolls must be between 12 and 15 (included).
",arc,v1, , ,,,,,
16,155179,PASS,1147,200,"","",arc,v1, , ,,,,,
17,128511,PASS,1086,200,"","",arc,v1, , ,,,,,
18,146495,PASS,1105,200,"","",arc,v1, , ,,,,,
19,156947,PASS,1092,200,"","",arc,v1, , ,,,,,
20,188911,PASS,1181,200,"","",arc,v1, , ,,,,,
21,218365,PASS,1090,200,"","",arc,v1, , ,,,,,
22,233985,PASS,1128,200,"","",arc,v1, , ,,,,,
23,138895,PASS,1213,200,"","",arc,v1, , ,,,,,
24,302754,PASS,1075,200,"","",arc,v1, , ,,,,,
25,89546,PASS,1229,200,"","",arc,v1, , ,,,,,
26,136225,PASS,1117,200,"","",arc,v1, , ,,,,,
27,146969,PASS,1132,200,"","",arc,v1, , ,,,,,
28,241825,PASS,1086,200,"","",arc,v1, , ,,,,,
29,325114,FALSE,929,200,"0002
0002
0002
0010
0010
0008
0350
","The IdPerson field is mandatory.
The EffectiveDate field is mandatory.
The employee -1 does not exist.
The field SalaryStartDate is mandatory.
The field SalaryEndDate is mandatory.
The IdCurrency with the identifier 15 cannot be found.
The number of payrolls must be between 12 and 15 (included).
",arc,v1, , ,,,,,
30,158902,PASS,1147,200,"","",arc,v1, , ,,,,,
31,290151,PASS,1332,200,"","",arc,v1, , ,,,,,
32,128515,PASS,1134,200,"","",arc,v1, , ,,,,,
33,138898,PASS,1078,200,"","",arc,v1, , ,,,,,
34,214607,PASS,1152,200,"","",arc,v1, , ,,,,,
35,204726,PASS,1093,200,"","",arc,v1, , ,,,,,
36,159306,PASS,1152,200,"","",arc,v1, , ,,,,,
37,295272,PASS,1069,200,"","",arc,v1, , ,,,,,
38,102685,PASS,1175,200,"","",arc,v1, , ,,,,,
39,234405,PASS,1088,200,"","",arc,v1, , ,,,,,
40,64721,PASS,1119,200,"","",arc,v1, , ,,,,,
41,27034,PASS,2721,200,"","",arc,v1, , ,,,,,
42,124786,FALSE,2855,200,"0001
0360
0362
","The person 124786 does not exist.
The salary start date must be between the opening access date and the closure access date.
Cannot find a payroll employment rate on the salary start date.
",arc,v1, , ,,,,,
