SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,"ERROR CODE","ERROR MESSAGE",ENVIRONMENT,VERSION, , ,AverageResponseOfID,MaximumDuration,MinimunDuration,Mode,Median
1,11458,FALSE,1537,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
2,7885,FALSE,812,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
3,7897,FALSE,732,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
4,13916,FALSE,1029,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
5,6678,FALSE,1466,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
6,10913,FALSE,751,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
7,15220,FALSE,1211,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
8,6702,FALSE,754,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
9,5661,FALSE,755,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
10,1799,FALSE,730,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
