SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,"ERROR CODE","ERROR MESSAGE",ENVIRONMENT,VERSION, , ,AverageResponseOfID,MaximumDuration,MinimunDuration,Mode,Median
1,298388,FALSE,2102,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,938.707,4784,819,842,872,
2,279529,FALSE,860,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
3,298468,FALSE,852,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
4,280125,FALSE,857,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
5,298668,FALSE,876,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
6,280209,FALSE,868,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
7,298928,FALSE,867,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
8,292791,FALSE,843,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
9,299709,FALSE,844,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
10,292889,FALSE,860,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
11,299012,FALSE,917,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
12,299409,FALSE,877,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
13,300123,FALSE,946,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
14,293596,FALSE,877,200,"FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01 FUNCTIONALERROR_01","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000] An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]",arc,v1, , ,,,,,
