SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,"ERROR CODE","ERROR MESSAGE",ENVIRONMENT,VERSION
1,26424,FALSE,1422,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
2,30730,FALSE,673,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
3,216565,FALSE,701,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
4,102891,FALSE,667,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
5,59260,FALSE,593,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
6,255966,FALSE,593,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
7,112142,FALSE,703,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
8,112174,FALSE,680,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
9,112396,FALSE,610,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
10,176447,FALSE,657,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
11,129877,FALSE,603,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
12,174711,FALSE,608,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
13,179106,FALSE,612,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
14,135231,FALSE,723,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
15,189384,FALSE,590,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
16,276466,FALSE,623,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
17,210490,FALSE,634,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
18,233334,FALSE,609,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
19,236829,FALSE,624,200,"FUNCTIONALERROR_01
","An internal error occured during rest api execution [00000000-0000-0000-0000-000000000000]
",arc,v1
